1;2;2;hello;01/22/2023 05:50;01/22/2023 05:50
2;3;2;what's up;01/22/2023 05:51;01/22/2023 05:51
3;2;2;how is it going;01/22/2023 05:52;01/22/2023 05:52
4;3;1;good afternoon;01/22/2023 05:50;01/22/2023 05:50
5;4;1;good mornig;01/22/2023 05:51;01/22/2023 05:51
6;3;1;dad is back;01/22/2023 05:52;01/22/2023 05:52
7;1;2;mom went to work;01/22/2023 05:53;01/22/2023 05:53
8;1;2;hurry up;01/22/2023 05:54;01/22/2023 05:54
9;4;1;be quiet;01/22/2023 05:55;01/22/2023 05:56
10;2;2;be quick;01/22/2023 05:56;01/22/2023 05:56
11;1;2;go home;01/22/2023 05:57;01/22/2023 06:00
12;4;1;i'm present;01/22/2023 05:58;01/22/2023 06:01
13;2;2;unfortunately no;01/22/2023 05:58;01/22/2023 06:02
